AEL,American Equity Investment Life Holding Company Common Stock,2955590701,United States,2003,327310,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,United States,,12116,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,United States,,8902,,
AEM,Agnico Eagle Mines Limited Common Stock,13797610768,Canada,,1203236,Basic Industries,Precious Metals
AEMD,Aethlon Medical Inc. Common Stock,24626502,United States,,362926,Health Care,Medical/Dental Instruments
AEO,American Eagle Outfitters Inc. Common Stock,4860996261,United States,,2945896,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,42082160923,United States,,2428354,Public Utilities,Electric Utilities: Central
AEPPL,American Electric Power Company Inc. Corporate Unit,0,United States,,42097,Public Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,0,United States,,11049,Public Utilities,Electric Utilities: Central
AERI,Aerie Pharmaceuticals Inc. Common Stock,836063310,United States,2013,421430,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation Common Stock,17958847549,United States,,4603076,Basic Industries,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,0,United States,,39820,Basic Industries,Electric Utilities: Central
AESE,Allied Esports Entertainment Inc. Common Stock,112721766,United States,2017,2491534,Consumer Services,Services-Misc. Amusement & Recreation
AEY,ADDvantage Technologies Group Inc. Common Stock,31782144,United States,,24511,Consumer Services,Office Equipment/Supplies/Services
AEYE,AudioEye Inc. Common Stock,280703034,United States,,102120,Technology,Computer Software: Prepackaged Software
AEZS,Aeterna Zentaris Inc. Common Stock,70826833,Canada,,4344505,Health Care,Major Pharmaceuticals
AFAQU,AF Acquisition Corp. Units,0,United States,2021,11513,Finance,Business Services
AFB,AllianceBernstein National Municipal Income Fund Inc,409327889,United States,2002,12984,,
AFBI,Affinity Bancshares Inc. Common Stock (MD),0,United States,2017,7353,Finance,Savings Institutions
AFCG,AFC Gamma Inc. Common Stock,258779941,United States,2021,104433,Finance,Real Estate
AFG,American Financial Group Inc. Common Stock,10056012199,United States,,339113,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,0,United States,2019,4403,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,26508474,United States,2019,2818,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,0,United States,2020,6229,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,0,United States,2020,1053,Finance,Property-Casualty Insurers
AFIB,Acutus Medical Inc. Common Stock,364392202,United States,2020,356967,Health Care,Medical/Dental Instruments
AFIN,American Finance Trust Inc. Class A Common Stock,1086195346,United States,,287378,Consumer Services,Real Estate Investment Trusts
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,,United States,,165883,Consumer Services,Real Estate Investment Trusts
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,0,United States,,37481,Consumer Services,Real Estate Investment Trusts
AFL,AFLAC Incorporated Common Stock,35638316085,United States,,2687163,Finance,Accident &Health Insurance
AFRM,Affirm Holdings Inc. Class A Common Stock,17089280672,United States,2021,2249803,Miscellaneous,Business Services
